"","x"
"0150 Alexander & Main",0.00242130750605327
"0104 Stanley Park - Second Beach South",0.00241545893719807
"0159 Vine & 4th",0.00241545893719807
"0208 Arbutus Greenway & Broadway",0.00241545893719807
"0039 Helmcken & Burrard",0.00240963855421687
"0154 Kitsilano Beach Park",0.00240963855421687
"0008 8th & Ash",0.00240384615384615
"0010 Stamp's Landing",0.00240384615384615
"0066 Anderson & 2nd",0.00240384615384615
"0092 Chilco & Barclay",0.00240384615384615
"0143 South False Creek Seawall",0.00240384615384615
"0227 Campbell & Hastings",0.00240384615384615
"0030 Abbott & Cordova",0.00239808153477218
"0060 Bidwell & Burnaby",0.00239808153477218
"0099 Vancouver Art Gallery - North Plaza",0.00239808153477218
"0202 14th & Oak",0.00239808153477218
"0076 Cypress & 4th",0.00239234449760766
"0109 7th & Arbutus",0.00239234449760766
"0113 Arbutus & 16th",0.00239234449760766
"0197 1st & Main",0.00239234449760766
"0221 Glen & Union",0.00239234449760766
"0250 Woodland & 4th",0.00239234449760766
"0225 McLean & Pender",0.00239234449760766
"0102 Stanley Park - Second Beach North",0.00238663484486874
"0196 Drake & Hornby",0.00238663484486874
"0274 Victoria & 10th",0.00238663484486874
"0027 Beatty & Nelson",0.00238095238095238
"0136 David Lam Park - West",0.00238095238095238
"0044 Richards & Beach",0.00238095238095238
"0040 Cardero & Davie",0.00237529691211401
"0152 Arbutus Greenway & 14th",0.00237529691211401
"0088 Harwood & Bute",0.0023696682464455
"0005 Dunsmuir & Beatty",0.00236406619385343
"0050 Bute & Comox",0.00236406619385343
"0069 7th & Granville",0.00236406619385343
"0204 York & Yew",0.00236406619385343
"0079 Nelson & Richards",0.00235849056603774
"0123 Georgia & Thurlow",0.00235849056603774
"0148 Creekside Park North",0.00235849056603774
"0077 Vanier Park",0.00235849056603774
"0201 Shaw Tower",0.00235294117647059
"0081 7th & Heather",0.00234741784037559
"0115 Cypress & 16th",0.00234741784037559
"0014 Canada Place",0.00234741784037559
"0004 Yaletown-Roundhouse Station",0.00234192037470726
"0218 Carrall & Seawall",0.00234192037470726
"0048 Comox & Broughton",0.00233644859813084
"0174 1st & Ontario",0.00233644859813084
"0041 Cardero & Robson",0.00233644859813084
"0207 Alberni & Jervis",0.00233644859813084
"0078 Nelson & Mainland",0.00233100233100233
"0080 Laurel & Broadway",0.00233100233100233
"0187 Bute & Davie",0.00233100233100233
"0037 Hornby & Nelson",0.00232558139534884
"0252 Woodland & Graveley",0.00232558139534884
"0016 Pender & Burrard",0.00231481481481481
"0140 Burrard & 7th",0.00231481481481481
"0209 Stanley Park - Information Booth",0.00231481481481481
"0232 Britannia Parking Lot",0.00231481481481481
"0261 8th & Fraser",0.0023094688221709
"0126 Thurlow & Pendrell",0.0023094688221709
"0052 Cambie & Water",0.00230414746543779
"0064 Expo & Smithe",0.00230414746543779
"0055 Keefer & Columbia",0.00229885057471264
"0272 Pender & Victoria",0.00229885057471264
"0032 Comox & Denman",0.00229357798165138
"0297 6th & Prince Edward",0.0022883295194508
"0258 13th & St George",0.00228310502283105
"0098 Carrall & Hastings",0.00227790432801822
"0203 Pine & 14th",0.00226757369614512
"0011 Ontario & Seawall",0.00226244343891403
"0012 Dunsmuir & Richards",0.00226244343891403
"0053 Keefer & Abbott",0.00226244343891403
"0129 Richards & Robson",0.00225733634311512
"0224 Pender & Commercial",0.00225733634311512
"0001 10th & Cambie",0.00223214285714286
"0280 Triumph & Victoria",0.00223214285714286
"0287 Carolina & Great Northern Way",0.0022075055187638
"0093 Chilco & Robson",0.00218340611353712
"0256 Prince Edward & 16th",0.00218340611353712
"0089 Burrard & Drake",0.00216919739696312
"0105 Stanley Park - Totem Poles",0.0021551724137931
"0083 Aquatic Centre",0.00214132762312634
"0257 Prince Edward & 14th",0.00214132762312634
"0273 Victoria & 4th",0.00212314225053079
"0101 Stanley Park - Vancouver Aquarium",0.00208768267223382
"0298 6th & Carolina",0.00202839756592292
"0285 Commercial & Pandora",0.00198412698412698
"0278 15th & Victoria",0.00192307692307692
"0034 Cordova & Bute",0.00189393939393939
"0233 Thornton & National",0.0018450184501845
"0249 7th & Woodland",0.0017921146953405
